freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,AT,REACH,Y55-59,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y55-59,NR,T,FI	1 	0 	1 	0 
A,AT,REACH,Y55-59,NR,T,HR	30 	29 	27 	32 
A,AT,REACH,Y55-59,NR,T,IT	24 	31 	52 	29 
A,AT,REACH,Y55-59,NR,T,LT	1 	0 	: 	0 
A,AT,REACH,Y55-59,NR,T,LU	3 	1 	3 	2 
A,AT,REACH,Y55-59,NR,T,LV	1 	1 	0 	0 
A,AT,REACH,Y55-59,NR,T,NL	9 	7 	7 	6 
A,AT,REACH,Y55-59,NR,T,SE	0 	6 	6 	3 
A,AT,REACH,Y55-59,NR,T,SK	5 	4 	4 	1 
A,AT,REACH,Y60-64,NR,T,BE	: 	: 	2 	4 
A,AT,REACH,Y60-64,NR,T,BG	15 	18 	20 	24 
A,AT,REACH,Y60-64,NR,T,CZ	6 	17 	10 	9 
A,AT,REACH,Y60-64,NR,T,DE	114 e	116 e	112 e	108 e
A,AT,REACH,Y60-64,NR,T,DK	1 	: 	: 	: 
A,AT,REACH,Y60-64,NR,T,EE	: 	: 	2 	0 
A,AT,REACH,Y60-64,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y60-64,NR,T,FI	2 	2 	2 	2 
A,AT,REACH,Y60-64,NR,T,HR	50 	63 	51 	43 
A,AT,REACH,Y60-64,NR,T,IT	15 	26 	29 	26 
A,AT,REACH,Y60-64,NR,T,LT	2 	0 	0 	0 
A,AT,REACH,Y60-64,NR,T,LU	2 	2 	0 	1 
A,AT,REACH,Y60-64,NR,T,LV	1 	0 	0 	0 
A,AT,REACH,Y60-64,NR,T,NL	3 	5 	1 	4 
A,AT,REACH,Y60-64,NR,T,SE	1 	5 	7 	1 
A,AT,REACH,Y60-64,NR,T,SK	7 	6 	6 	1 
A,AT,REACH,Y65-69,NR,T,BE	: 	: 	5 	0 
A,AT,REACH,Y65-69,NR,T,BG	16 	15 	18 	17 
A,AT,REACH,Y65-69,NR,T,CZ	9 	10 	11 	5 
A,AT,REACH,Y65-69,NR,T,DE	73 e	75 e	78 e	92 e
A,AT,REACH,Y65-69,NR,T,DK	1 	: 	: 	: 
A,AT,REACH,Y65-69,NR,T,EE	: 	: 	0 	0 
A,AT,REACH,Y65-69,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y65-69,NR,T,FI	1 	1 	0 	2 
A,AT,REACH,Y65-69,NR,T,HR	47 	37 	27 	43 
A,AT,REACH,Y65-69,NR,T,IT	9 	31 	14 	16 
A,AT,REACH,Y65-69,NR,T,LT	0 	0 	0 	: @N
